name,institution
Elliot Creager,U of Waterloo
Nicholas Vincent,Simon Fraser U
Celestine Mendler-Dünner,MPI Tübingen
Williiam Agnew,CMU
Hanlin Li,U of Texas
Ulrich Aïvodji,ETS Montreal
Rushabh Solanki,U of Waterloo
Meghana Bhange,ETS Montreal
Prakhar Ganesh,McGill
Khaoula Chehbouni,McGill
Parth Sarin,Stanford
Afif Taik,Université de Sherbrooke
Joachim Baumann,University of Zurich
Sara Fish,Harvard
Qing Xiao,CMU
Etienne Gauthier,Inria
Julien Ferry,Polytechnique Montreal
Heber Hwang Arcolezi,Inria
Patrik Kenfack,ETS Montreal
Harry Cheon,UCSD
Meredith Stewart,UCSD
Shreyas Kadekodi,UCSD
Blair Attard-Frost,U of Toronto
